article_candidate_index,article_url,article_title,article_published_time,source_path,source_line_number,bout_ordinal_in_article,fighter_a_text,fighter_b_text,scale_weight_a_lbs,scale_weight_b_lbs,marker_a,marker_b,raw_source_line,extraction_rule,review_status
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,53,3,Ryan Bader,Ilir Latifi,205,205,,,Ryan Bader (205) vs Ilir Latifi (205),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,54,4,Nick Hein,Tae Hyun Bang,155,156,,,Nick Hein (155) vs Tae Hyun Bang (156),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,56,5,Jessin Ayari,Jim Wallhead,171,170,,,Jessin Ayari (171) vs Jim Wallhead (170),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,58,6,Ashlee Evans-Smith,Veronica Macedo,135,136,,,Ashlee Evans-Smith (135) vs Veronica Macedo (136),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,59,7,Taylor Lapilus,Leandro Issa,136,134,,,Taylor Lapilus (136) vs Leandro Issa (134),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,60,8,Jarjis Danho,Christian Colombo,258,251,,,Jarjis Danho (258) vs Christian Colombo (251),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,61,9,Scott Askham,Jack Hermansson,185,186,,,Scott Askham (185) vs Jack Hermansson (186),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,62,10,Rustam Khabilov,Leandro Silva,156,156,,,Rustam Khabilov (156) vs Leandro Silva (156),explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,49,1,Edson Barboza,Kevin Lee,155.6,157,,*,Edson Barboza (155.6) vs Kevin Lee (157)*,explicit_parenthetical_weights_vs,candidate
4,https://www.ufc.com/news/fight-night-atlantic-city-official-weigh-results,Fight Night Atlantic City: Official Weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000004_fight-night-atlantic-city-official-weigh-results-35f2aa4ae8f0.html,51,2,Frankie Edgar,Cub Swanson,145.6,145,,,Frankie Edgar (145.6) vs Cub Swanson (145),explicit_parenthetical_weights_vs,candidate
