family,url,lastmod
weigh_in,https://www.ufc.com/news/fight-night-rio-2015-weigh-results,2018-09-19T14:53Z
weigh_in,https://www.ufc.com/news/fight-night-rothwell-vs-dos-santos-weigh-results,2018-09-14T12:47Z
weigh_in,https://www.ufc.com/news/fight-night-rotterdam-official-weigh-results,2018-10-03T14:08Z
scorecard,https://www.ufc.com/news/fight-night-rotterdam-scorecard,2018-10-03T14:08Z
weigh_in,https://www.ufc.com/news/fight-night-rotterdam-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-sacramento-weigh-results,2018-10-03T13:52Z
weigh_in,https://www.ufc.com/news/fight-night-saint-louis-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-saint-preux-vs-okami-official-weigh-results,2018-10-03T14:08Z
weigh_in,https://www.ufc.com/news/fight-night-salt-lake-city-weigh-results,2018-11-05T15:10Z
weigh_in,https://www.ufc.com/news/fight-night-san-diego-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-san-jose-weigh-results,2018-10-03T00:55Z
weigh_in,https://www.ufc.com/news/fight-night-sao-paulo-2015-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-sao-paulo-official-weigh-results,2018-11-05T15:06Z
scorecard,https://www.ufc.com/news/fight-night-sao-paulo-scorecard,2018-10-03T14:14Z
weigh_in,https://www.ufc.com/news/fight-night-sao-paulo-weigh-results,2018-11-05T15:10Z
weigh_in,https://www.ufc.com/news/fight-night-saskatoon-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-seoul-2015-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-shanghai-official-weigh-results,2018-10-03T14:10Z
scorecard,https://www.ufc.com/news/fight-night-shanghai-scorecard,2018-10-03T14:10Z
weigh_in,https://www.ufc.com/news/fight-night-silva-vs-bisping-weigh-results,2018-10-03T03:29Z
weigh_in,https://www.ufc.com/news/fight-night-singapore-official-weigh-results,2018-10-03T14:06Z
weigh_in,https://www.ufc.com/news/fight-night-singapore-official-weigh-results-0,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-sioux-falls-weigh-results,2018-09-19T15:46Z
scorecard,https://www.ufc.com/news/fight-night-st-louis-scorecard,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-stockholm-2014-weigh-results,2018-09-14T12:47Z
weigh_in,https://www.ufc.com/news/fight-night-stockholm-official-weigh-results,2018-09-14T12:47Z
scorecard,https://www.ufc.com/news/fight-night-stockholm-scorecard,2018-10-03T14:06Z
weigh_in,https://www.ufc.com/news/fight-night-stockholm-weigh-results,2018-09-19T14:53Z
weigh_in,https://www.ufc.com/news/fight-night-sydney-2014-weigh-results,2018-09-19T14:53Z
weigh_in,https://www.ufc.com/news/fight-night-sydney-official-weigh-results,2018-10-03T14:10Z
weigh_in,https://www.ufc.com/news/fight-night-tulsa-weigh-results,2018-10-03T00:56Z
weigh_in,https://www.ufc.com/news/fight-night-uberlandia-2014-weigh-results,2018-09-14T12:47Z
weigh_in,https://www.ufc.com/news/fight-night-utica-official-weigh-results,2018-09-19T15:46Z
scorecard,https://www.ufc.com/news/fight-night-utica-scorecard,2018-10-03T14:14Z
scorecard,https://www.ufc.com/news/fight-night-winnipeg-scorecard,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-winnipeg-weigh-results,2018-10-03T14:10Z
weigh_in,https://www.ufc.com/news/fortaleza-weigh-results,2019-02-01T17:10Z
scorecard,https://www.ufc.com/news/international-fight-week-scorecard,2018-09-19T15:46Z
scorecard,https://www.ufc.com/news/live-results-official-scorecards-match-recaps-interviews-canelo-vs-crawford-las-vegas,2025-09-14T06:34Z
weigh_in,https://www.ufc.com/news/maymac-official-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/melendez-vs-masvidal-weigh-results-pix,2018-09-19T14:53Z
weigh_in,https://www.ufc.com/news/milwaukee-weigh-results,2018-12-14T23:23Z
weigh_in,https://www.ufc.com/news/offical-ufc-fight-night-weigh-results,2018-11-05T15:10Z
scorecard,https://www.ufc.com/news/official%20-scorecards-ufc-fight-night-costa-vs-vettori-ufc-vegas-41,2021-10-29T06:17Z
weigh_in,https://www.ufc.com/news/official-fight-night-weigh-results,2018-10-02T21:38Z
scorecard,https://www.ufc.com/news/official-judges-scorecard-ufc-fight-night-walker-vs-zhang-shanghai,2025-08-23T12:48Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-noche-ufc-grasso-vs-shevchenko-2,2023-09-17T05:14Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-noche-ufc-lopes-vs-silva,2025-09-14T00:56Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-269-oliveira-vs-poirier-nunes-pena,2021-12-12T07:19Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-270-ngannou-vs-gane-moreno-vs-figueiredo-3,2022-01-23T07:03Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-271-adesanya-vs-whittaker-2-derrick-lewis-tai-tuivasa-houston,2022-02-13T06:06Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-272-covington-vs-masvidal-rda-moicano,2022-03-06T06:50Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-273-volkanovski-vs-the-korean-zombie-jacksonville,2025-02-24T21:31Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-274-oliveira-vs-gaethje-namajunas-vs-esparza-2-phoenix,2022-05-08T05:07Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-275-teixeira-vs-prochazka-shevchenko-santos-singapore,2022-06-12T05:14Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-282-blachowicz-vs-ankalaev,2024-02-14T23:51Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-283-teixeira-vs-hill-light-heavyweight-flyweight-title-rio-de-janeiro,2025-02-24T21:35Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-284-makhachev-vs-volkanovski,2024-01-26T17:24Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-285-jones-vs-gane,2025-02-20T21:53Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-286-edwards-vs-usman-3,2026-07-07T22:42Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-287-pereira-vs-adesanya-2,2025-02-20T21:51Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-288-sterling-vs-cejudo,2025-02-21T19:58Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-289-nunes-vs-aldana-vancouver,2023-06-11T05:12Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-290-volkanovski-vs-rodriguez,2023-07-14T16:39Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-291-poirier-vs-gaethje-2,2026-07-07T19:57Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-292-sterling-vs-omalley,2023-08-20T05:16Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-293-adesanya-vs-strickland,2023-09-10T04:52Z
scorecard,https://www.ufc.com/news/official-judges-scorecards-ufc-295-prochazka-vs-pereira,2023-11-12T06:30Z
