fightmetric_id,ufc_fight_uuid,drupal_internal_nid,red_athlete_uuid,blue_athlete_uuid,winner_athlete_uuid,title,final_method,final_round,final_time
10921,a8b63c77-f3de-45bf-ae89-986b58566261,133321,20d8606b-8a8a-4737-806c-4b6beafa944f,697988f7-f929-4485-9300-2feb38913eae,697988f7-f929-4485-9300-2feb38913eae,Tim Elliott vs Muhammad Mokaev,Submission,3,3:03
10923,6499d6fd-2e90-4012-b406-9a0e55f65476,133202,29528200-4611-46b5-b799-1ef857873941,f4cf9636-5e3c-4b02-ab2c-c517d1842e76,f4cf9636-5e3c-4b02-ab2c-c517d1842e76,Alex Reyes vs Charlie Campbell,KO/TKO,1,3:38
10924,79f78597-3165-40e9-a871-b595a7d8ae4a,133458,7affbace-2039-49dc-abe2-df5862a1482a,3994e8a9-ea3e-4805-9451-1e817d07da47,3994e8a9-ea3e-4805-9451-1e817d07da47,Jennifer Maia vs Viviane Araújo,Decision - Unanimous,3,5:00
10928,5936663b-7feb-422b-b054-c9cc59ee3073,133451,19cf43c9-0afb-4a2d-86fd-bf2b348c6ea2,210065f2-c2b7-43b8-bebc-470ababcfcae,19cf43c9-0afb-4a2d-86fd-bf2b348c6ea2,Viktoriia Dudakova vs Jinh Yu Frey,Decision - Unanimous,3,5:00
10929,4a8f1a5e-2114-4ede-9fc4-c93915778dfd,133442,e4d74052-07e8-4a10-9d25-43c12bc82527,5951afd4-125d-4df3-8cc8-174eca22c10a,5951afd4-125d-4df3-8cc8-174eca22c10a,Grant Dawson vs Bobby Green,KO/TKO,1,0:33
10930,8d985bbb-d53f-4188-bf8e-fd1f26820289,133438,2cda570d-8c52-4de3-a1c4-94625afbb03a,77785184-4dac-47f1-a11c-608fc99180e7,77785184-4dac-47f1-a11c-608fc99180e7,Alexander Hernandez vs Bill Algeo,Decision - Unanimous,3,5:00
10931,ccd4bc09-a62c-4a84-89a8-b035128bbb36,133436,516c0a64-e0ed-4f5d-9ef2-a6bcd78e5d52,bc5306d8-da4e-430a-920b-4edebbd7145a,516c0a64-e0ed-4f5d-9ef2-a6bcd78e5d52,Karolina Kowalkiewicz vs Diana Belbita,Decision - Unanimous,3,5:00
10932,59cde673-badb-4481-bf15-add3d927b87b,133434,7cb456e1-35ac-471d-aa6d-2ed34901e63a,9858f8ed-2122-4aaf-96f9-161a5e1c1474,7cb456e1-35ac-471d-aa6d-2ed34901e63a,Drew Dober vs Ricky Glenn,KO/TKO,1,2:36
10933,6cef2f49-7dd3-4f5e-8152-9173b0c3ebe9,133431,3c4857e9-86a2-458b-bbc9-6658bed20bd4,9fddf849-9618-438a-8114-14af8cf8e5eb,3c4857e9-86a2-458b-bbc9-6658bed20bd4,Joe Pyfer vs Abdul Razak Alhassan,Submission,2,2:05
10935,86c03a98-e5b8-4ca6-9d38-719db59ab1ae,133439,40e92035-6fae-4d1f-b4b8-fc54a3c012fc,8d7005d6-e0ad-46f9-98d9-4ee2172def3a,40e92035-6fae-4d1f-b4b8-fc54a3c012fc,Aoriqileng vs Johnny Munoz,Decision - Unanimous,3,5:00
