external_fighter_url,external_fighter_name,external_birth_date,canonical_fighter_id,canonical_name,canonical_dob,match_method,review_status,match_confidence
/fighter/Giedrius-Karavackas-60827,Giedrius Karavackas,,,,,,unmatched_exact_name,
/fighter/Keith-Bell-80284,Keith Bell,1979-08-10,,,,,unmatched_exact_name,
/fighter/Leonardo-Santos-4810,Leonardo Santos,1980-02-05,c016fb7b-8959-54db-a3cd-d68533a721c0,Leonardo Santos,1980-02-05,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Chad-Coon-77213,Chad Coon,1980-10-22,,,,,unmatched_exact_name,
/fighter/Jesse-Lennox-17139,Jesse Lennox,1982-03-10,e36a5e22-8849-5154-b92d-1b6d7ec561bf,Jesse Lennox,1982-03-10,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Michihiro-Omigawa-13005,Michihiro Omigawa,1975-12-19,33838274-577d-5e7d-9b53-76cc22b637a2,Michihiro Omigawa,1975-12-19,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Mark-Vorgeas-39644,Mark Vorgeas,,f194d235-518a-5630-8d5a-dd796dfb02e8,Mark Vorgeas,,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Guillermo-Martinez-Ayme-101129,Guillermo Martinez Ayme,,,,,,unmatched_exact_name,
/fighter/Sunoto-Peringkat-192883,Sunoto Peringkat,1985-04-03,,,,,unmatched_exact_name,
/fighter/Terry-Davinney-18494,Terry Davinney,,,,,,unmatched_exact_name,
/fighter/Kyle-Noke-7632,Kyle Noke,1980-03-18,4cb6f2df-dce5-5dfb-96c5-061707aaf3ed,Kyle Noke,1980-03-18,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Virgil-Zwicker-9086,Virgil Zwicker,1982-06-26,b4515b18-89d6-527d-a472-cf2291b4eaae,Virgil Zwicker,1982-06-26,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Tim-Wilde-80696,Tim Wilde,1987-06-30,,,,,unmatched_exact_name,
/fighter/Austin-Lyons-57168,Austin Lyons,1988-03-08,,,,,unmatched_exact_name,
/fighter/Shane-Carwin-14013,Shane Carwin,1975-01-04,c762ecea-b35b-504a-9d5f-5a48aa754f81,Shane Carwin,1975-01-04,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Nick-Newell-59502,Nick Newell,1986-03-17,1c5c664b-de82-55f6-8545-f88aa47275c7,Nick Newell,1986-03-17,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/John-Hawk-39280,John Hawk,1979-12-10,,,,,unmatched_exact_name,
/fighter/Stephen-Martinez-49819,Stephen Martinez,1987-05-16,,,,,unmatched_exact_name,
/fighter/Jason-Young-17758,Jason Young,1986-06-28,02c3d148-ce96-50d5-82c6-712e50a723b2,Jason Young,1986-06-28,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Joe-Giannetti-176087,Joe Giannetti,1995-07-05,f94fc7b9-9bea-5ef4-9395-4d5991247bb7,Joe Giannetti,1995-07-05,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Brandon-Melendez-10515,Brandon Melendez,1983-03-24,ae99643c-4fd1-5e50-b3d7-f4a1e6e8b3de,Brandon Melendez,1983-03-24,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Pete-Sell-7795,Pete Sell,1982-08-25,,Pete Sell,1982-08-05,exact_normalized_name_but_dob_conflicts_after_dmy_parse,dob_conflict,
/fighter/Cortez-Coleman-48423,Cortez Coleman,1982-01-28,229f1612-9bb0-5234-a275-78fdea9f52ae,Cortez Coleman,1982-01-28,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/John-Makdessi-37402,John Makdessi,1985-05-03,540f7c25-bf7f-5fa3-ba2e-69c25f190af1,John Makdessi,1985-05-03,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Daichi-Abe-191861,Daichi Abe,1991-11-27,a603886b-2a39-5204-ac14-6a6690ef6673,Daichi Abe,1991-11-27,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Mauro-Cerilli-156205,Mauro Cerilli,1983-03-22,,,,,unmatched_exact_name,
/fighter/Johnny-Eduardo-426,Johnny Eduardo,1980-08-03,,Johnny Eduardo,1978-08-03,exact_normalized_name_but_dob_conflicts_after_dmy_parse,dob_conflict,
/fighter/Mark-Scanlon-18253,Mark Scanlon,,d28c5a07-279d-5cb8-b5e1-d6207e31ac9e,Mark Scanlon,,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Romie-Aram-85,Romie Aram,,6f5797a9-63a8-511b-993a-2f0177e4a698,Romie Aram,1977-12-02,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/Frank-Lester-22791,Frank Lester,1984-06-10,28fab487-5875-597c-bae2-7611fdbcba18,Frank Lester,1984-06-10,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Sean-Soriano-61682,Sean Soriano,1989-10-06,a1f9d337-af48-53be-bb77-9777c02744de,Sean Soriano,1989-10-06,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Josh-Sampo-66883,Josh Sampo,1984-07-24,a3724f83-f996-577b-91a3-921935124766,Josh Sampo,1984-07-24,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Charles-McCarthy-7987,Charles McCarthy,1980-08-06,ad7b8b62-ca89-550e-8c49-ad516839d41d,Charles McCarthy,1980-08-06,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/James-Damien-Stelly-11329,James Damien Stelly,,,,,,unmatched_exact_name,
/fighter/Alexey-Kunchenko-140641,Alexey Kunchenko,1984-05-02,,,,,unmatched_exact_name,
/fighter/Matt-Perez-112105,Matt Perez,,,,,,unmatched_exact_name,
/fighter/Royce-Gracie-19,Royce Gracie,1966-12-12,ac7c3d93-72ae-56a0-bc6f-fad2feddd13b,Royce Gracie,1966-12-12,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Brian-Green-4164,Brian Green,1985-09-05,,,,,unmatched_exact_name,
/fighter/Stefanie-Guimaraes-45012,Stefanie Guimaraes,1989-09-11,,,,,unmatched_exact_name,
/fighter/Fabiano-Iha-218,Fabiano Iha,1970-07-28,0d1bc92f-7da9-5d0a-860c-e8d2ebda09ec,Fabiano Iha,1970-07-28,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Maurice-Greene-85198,Maurice Greene,1986-07-05,0e63b7f4-2fe6-5ef8-ab6a-3c7880899f10,Maurice Greene,1986-07-05,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Bryce-ShepardMejia-113679,Bryce Shepard-Mejia,,,,,,unmatched_exact_name,
/fighter/Michael-Trizano-163551,Michael Trizano,1991-12-31,733188c6-8cea-510f-888b-a66478970480,Michael Trizano,1991-12-31,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Thai-Rithy-171221,Thai  Rithy,,,,,,unmatched_exact_name,
/fighter/Lucie-Bertaud-202087,Lucie Bertaud,1985-03-03,,,,,unmatched_exact_name,
/fighter/Roque-Reyes-131133,Roque Reyes,1978-05-31,,,,,unmatched_exact_name,
/fighter/Otgonjargal-Purev-238029,Otgonjargal Purev,1991-02-21,,,,,unmatched_exact_name,
/fighter/Liliya-Shakirova-255783,Liliya Shakirova,1991-10-20,,Liliya Shakirova,1991-10-24,exact_normalized_name_but_dob_conflicts_after_dmy_parse,dob_conflict,
/fighter/Francis-Carmont-9798,Francis Carmont,1981-11-10,,Francis Carmont,1981-10-11,exact_normalized_name_but_dob_conflicts_after_dmy_parse,dob_conflict,
/fighter/Andrew-Kapel-39691,Andrew Kapel,1985-08-04,,,,,unmatched_exact_name,
/fighter/Nicolae-Negumereanu-237147,Nicolae Negumereanu,1994-09-04,4257a3cc-f5b1-507e-b7c7-dc66d8a47329,Nicolae Negumereanu,1994-09-04,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
