ranking_fighter_name,normalized_name,greco_fighter_name,greco_fighter_url,match_method,review_status
Ben Nguyen,bennguyen,Ben Nguyen,http://ufcstats.com/fighter-details/840d2c82ea68b9aa,exact_normalized_display_name_unique,candidate
Ben Rothwell,benrothwell,Ben Rothwell,http://ufcstats.com/fighter-details/bd58d34e39b7b12a,exact_normalized_display_name_unique,candidate
Beneil Dariush,beneildariush,Beneil Dariush,http://ufcstats.com/fighter-details/08af939f41b5a57b,exact_normalized_display_name_unique,candidate
Benoit Saint Denis,benoitsaintdenis,Benoit Saint Denis,http://ufcstats.com/fighter-details/c2299ec916bc7c56,exact_normalized_display_name_unique,candidate
Benson Henderson,bensonhenderson,Benson Henderson,http://ufcstats.com/fighter-details/2676b28836a5a836,exact_normalized_display_name_unique,candidate
Bethe Correia,bethecorreia,Bethe Correia,http://ufcstats.com/fighter-details/673ea7dcc786b1b3,exact_normalized_display_name_unique,candidate
Bia Mesquita,biamesquita,Bia Mesquita,http://ufcstats.com/fighter-details/eff9074bc066f0f2,exact_normalized_display_name_unique,candidate
Blagoy Ivanov,blagoyivanov,Blagoy Ivanov,http://ufcstats.com/fighter-details/1788eee370f077b7,exact_normalized_display_name_unique,candidate
Bo Nickal,bonickal,Bo Nickal,http://ufcstats.com/fighter-details/35673bf5204524ee,exact_normalized_display_name_unique,candidate
Bogdan Guskov,bogdanguskov,Bogdan Guskov,http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,exact_normalized_display_name_unique,candidate
Brad Pickett,bradpickett,Brad Pickett,http://ufcstats.com/fighter-details/c945adc22c2bfe8f,exact_normalized_display_name_unique,candidate
Brad Riddell,bradriddell,Brad Riddell,http://ufcstats.com/fighter-details/37ed1ab2f8b819f4,exact_normalized_display_name_unique,candidate
Brad Tavares,bradtavares,Brad Tavares,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,exact_normalized_display_name_unique,candidate
Brando Pericic,brandopericic,Brando Pericic,http://ufcstats.com/fighter-details/d0fd0d9ee560dae7,exact_normalized_display_name_unique,candidate
Brandon Moreno,brandonmoreno,Brandon Moreno,http://ufcstats.com/fighter-details/792be9a24df82ed6,exact_normalized_display_name_unique,candidate
Brandon Royval,brandonroyval,Brandon Royval,http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,exact_normalized_display_name_unique,candidate
Brendan Allen,brendanallen,Brendan Allen,http://ufcstats.com/fighter-details/2f181c0467965b98,exact_normalized_display_name_unique,candidate
Brendan Schaub,brendanschaub,Brendan Schaub,http://ufcstats.com/fighter-details/89a407032911e27e,exact_normalized_display_name_unique,candidate
Brett Johns,brettjohns,Brett Johns,http://ufcstats.com/fighter-details/ec52462a1b41f714,exact_normalized_display_name_unique,candidate
Brian Bowles,brianbowles,Brian Bowles,http://ufcstats.com/fighter-details/b26d3e3746fb4024,exact_normalized_display_name_unique,candidate
Brian Kelleher,briankelleher,Brian Kelleher,http://ufcstats.com/fighter-details/7be14eaed4c74856,exact_normalized_display_name_unique,candidate
Brian Ortega,brianortega,Brian Ortega,http://ufcstats.com/fighter-details/def8166ff24bd237,exact_normalized_display_name_unique,candidate
Brianna Fortino,briannafortino,Brianna Fortino,http://ufcstats.com/fighter-details/b53c46f613f6f248,exact_normalized_display_name_unique,candidate
Brock Lesnar,brocklesnar,Brock Lesnar,http://ufcstats.com/fighter-details/513c6f1715e547a8,exact_normalized_display_name_unique,candidate
Brunno Ferreira,brunnoferreira,Brunno Ferreira,http://ufcstats.com/fighter-details/1e719d4b676dc19a,exact_normalized_display_name_unique,candidate
