article_candidate_index,article_url,article_title,article_published_time,article_candidate_rows,rows_with_unique_name_transport,rows_with_canonical_pair,rows_with_unique_event_candidate,distinct_candidate_events,intersection_event_count,intersection_event_id,unique_vote_event_count,unique_vote_top_event_id,unique_vote_top_support,unique_vote_second_support,unique_vote_unanimous,candidate_event_id,candidate_event_name,candidate_event_date,consensus_status,review_status
631,https://www.ufc.com/news/weigh-results-ufc-fight-night-blachowicz-vs-rakic-vegas-54,Weigh-In Results | UFC Fight Night: Blachowicz vs Rakic,2022-05-13T09:00:00-0400,11,10,10,10,1,1,db14e2d5-fa6f-5d64-accd-5e7f2f04c5ce,1,db14e2d5-fa6f-5d64-accd-5e7f2f04c5ce,10,0,true,db14e2d5-fa6f-5d64-accd-5e7f2f04c5ce,UFC Fight Night: Blachowicz vs. Rakic,2022-05-14,singleton_event_intersection_unpromoted,candidate
632,https://www.ufc.com/news/weigh-results-ufc-fight-night-blaydes-vs-aspinall-london,Weigh-In Results | UFC Fight Night: Blaydes vs Aspinall,2022-07-20T02:00:00-0400,13,13,13,12,2,1,e00ac8a1-e1e1-5182-80e9-fd6ce83510a8,1,e00ac8a1-e1e1-5182-80e9-fd6ce83510a8,12,0,true,e00ac8a1-e1e1-5182-80e9-fd6ce83510a8,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,singleton_event_intersection_unpromoted,candidate
633,https://www.ufc.com/news/weigh-results-ufc-fight-night-blaydes-vs-lewis,Weigh-In Results | UFC Fight Night: Blaydes vs Lewis,2021-02-17T16:54:06-0500,15,13,11,11,1,1,7660e8a6-4a42-5257-b127-f5bb459ed389,1,7660e8a6-4a42-5257-b127-f5bb459ed389,11,0,true,7660e8a6-4a42-5257-b127-f5bb459ed389,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,singleton_event_intersection_unpromoted,candidate
634,https://www.ufc.com/news/weigh-results-ufc-fight-night-brunson-vs-holland-read,Weigh-In Results & Faceoffs | UFC Fight Night: Brunson Vs Holland,2021-03-18T17:27:28-0400,12,10,9,9,2,0,,2,1f5e6236-f83c-5597-84b0-8241667252ac,8,1,false,,,,competing_unique_event_votes,candidate
635,https://www.ufc.com/news/weigh-results-ufc-fight-night-brunson-vs-till-vegas-36,Weigh-In Results | UFC Fight Night: Brunson vs Till,2021-08-31T16:19:25-0400,10,9,8,8,1,1,fadf6ee2-2e47-525e-be4e-0c78362ad476,1,fadf6ee2-2e47-525e-be4e-0c78362ad476,8,0,true,fadf6ee2-2e47-525e-be4e-0c78362ad476,UFC Fight Night: Brunson vs. Till,2021-09-04,singleton_event_intersection_unpromoted,candidate
636,https://www.ufc.com/news/weigh-results-ufc-fight-night-burns-vs-brady-vegas-97,Weigh-In Results | UFC Fight Night: Burns vs Brady,2024-09-06T14:35:00-0400,12,11,11,11,1,1,ea13800d-815f-5edd-80c9-660785ebe6b6,1,ea13800d-815f-5edd-80c9-660785ebe6b6,11,0,true,ea13800d-815f-5edd-80c9-660785ebe6b6,UFC Fight Night: Burns vs. Brady,2024-09-07,singleton_event_intersection_unpromoted,candidate
637,https://www.ufc.com/news/weigh-results-ufc-fight-night-burns-vs-morales-vegas-106,Weigh-In Results | UFC Fight Night: Burns vs Morales,2025-05-16T12:00:00-0400,12,12,12,12,2,0,,2,3dec0766-cbf2-5d86-9ba1-48cdbde36bba,11,1,false,,,,competing_unique_event_votes,candidate
638,https://www.ufc.com/news/weigh-results-ufc-fight-night-cannonier-vs-borralho-vegas-96,Weigh-In Results | UFC Fight Night: Cannonier vs Borralho,2024-08-23T12:52:00-0400,12,10,10,10,1,1,37a07d58-4008-5803-b2c8-4e4e6fbcff86,1,37a07d58-4008-5803-b2c8-4e4e6fbcff86,10,0,true,37a07d58-4008-5803-b2c8-4e4e6fbcff86,UFC Fight Night: Cannonier vs. Borralho,2024-08-24,singleton_event_intersection_unpromoted,candidate
639,https://www.ufc.com/news/weigh-results-ufc-fight-night-cannonier-vs-gastelum-vegas-34,Weigh-In Results | UFC Fight Night: Cannonier vs. Gastelum,2021-08-10T16:46:25-0400,12,11,11,10,2,1,5833db1a-cc50-5599-8b7e-62691d25bf93,1,5833db1a-cc50-5599-8b7e-62691d25bf93,10,0,true,5833db1a-cc50-5599-8b7e-62691d25bf93,UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,singleton_event_intersection_unpromoted,candidate
640,https://www.ufc.com/news/weigh-results-ufc-fight-night-cannonier-vs-strickland,Weigh-In Results | UFC Fight Night: Cannonier vs Strickland,2022-12-16T09:00:00-0500,13,12,12,12,1,1,4be450f2-7cf8-5496-82ad-e50a36de936c,1,4be450f2-7cf8-5496-82ad-e50a36de936c,12,0,true,4be450f2-7cf8-5496-82ad-e50a36de936c,UFC Fight Night: Cannonier vs. Strickland,2022-12-17,singleton_event_intersection_unpromoted,candidate
