fightmetric_id,raw_color,round,resource_id,drupal_internal_id,reason,field,raw_value,details
11820,0,1,c50eadc7-c8fb-43a4-8e70-b8c37a8b086e,63977,missing_canonical_fight_identity,,,
11820,0,2,644ac251-621a-4668-88b9-f4ef5e9d4dbe,63978,missing_canonical_fight_identity,,,
11820,0,3,c11e4f08-7fc2-48fb-b0f2-6d2284e4c531,63979,missing_canonical_fight_identity,,,
11820,1,1,8caf3f3a-adf3-4e39-a2ea-197cb686bcf4,63980,missing_canonical_fight_identity,,,
11820,1,2,9962d5ec-b7e0-4147-8ec2-24e1e57d6059,63981,missing_canonical_fight_identity,,,
11820,1,3,49b28e1a-3922-48c1-b537-e7afa20f945a,63982,missing_canonical_fight_identity,,,
11829,0,1,9948d02a-8b4f-40d7-ae58-2cc4ef0a1ca4,63423,missing_canonical_fight_identity,,,
11829,0,2,e2b04599-cd9c-42e5-bbff-9791e33822bd,63424,missing_canonical_fight_identity,,,
11829,0,3,51316d3f-9954-4582-abf0-83f6f60838eb,63425,missing_canonical_fight_identity,,,
11829,1,1,9223f88a-5808-496a-8a75-c025dccf6d84,63426,missing_canonical_fight_identity,,,
11829,1,2,888ec485-e224-49e0-9205-23fd1975afe6,63427,missing_canonical_fight_identity,,,
11829,1,3,55cc4e12-9f49-455c-a3d7-2427afdbd4b3,63428,missing_canonical_fight_identity,,,
11850,0,1,2042de45-922a-4c77-a35c-484ae8ef7abf,63682,missing_canonical_fight_identity,,,
11850,1,1,b28bfec5-cd70-4ae9-8b8e-e36fdf3192bb,63683,missing_canonical_fight_identity,,,
11865,0,1,2dcb1e48-6666-4257-9ba7-6549fc1da83c,63686,missing_canonical_fight_identity,,,
11865,1,1,e1ce8fcf-bd59-4d01-bf89-665e493304e9,63687,missing_canonical_fight_identity,,,
11866,0,1,ab778f32-0079-442f-a16e-f1119a9a09b7,63437,missing_canonical_fight_identity,,,
11866,0,2,bbc07301-ee0f-45c5-8c80-bcfc1314d1ce,63438,missing_canonical_fight_identity,,,
11866,0,3,329c5dd9-dc15-4453-97a2-7d38c6aeb8bc,63439,missing_canonical_fight_identity,,,
11866,1,1,b6c51cb8-e08e-4602-b724-93ed2a39620f,63440,missing_canonical_fight_identity,,,
11866,1,2,57383aa9-bd4c-4285-9b74-0d9bdca1a9c4,63441,missing_canonical_fight_identity,,,
11866,1,3,64668c91-1b45-4243-814a-7386ade4f40e,63442,missing_canonical_fight_identity,,,
11885,0,1,a22b7455-94bd-4bdd-abe1-bc6490971250,63665,missing_canonical_fight_identity,,,
11885,1,1,933a4843-0a76-4619-bad1-2606e2e490be,63666,missing_canonical_fight_identity,,,
11888,0,1,3862c491-bae5-47b4-bc75-93a6058d60d2,63411,missing_canonical_fight_identity,,,
11888,1,1,2566d79f-d90a-4967-91a7-98bea2be14da,63412,missing_canonical_fight_identity,,,
119,0,1,9d72a913-63f3-40e4-8440-48a1b24eb591,33941,missing_canonical_fight_identity,,,
119,1,1,b2a81c0e-d16f-49d5-8d1f-4e14b04f8a02,33942,missing_canonical_fight_identity,,,
11959,0,1,bcddad89-ce64-4c91-95a0-a714715b0df3,64596,missing_canonical_fight_identity,,,
11959,1,1,71b14667-1c78-40bb-bbc5-27c588c1f102,64597,missing_canonical_fight_identity,,,
11965,0,1,044cb4bd-fcc4-4458-94ba-14275fdd0766,64318,missing_canonical_fight_identity,,,
11965,0,2,2ebefe35-942e-453a-b49e-1f4d2d844cbc,64319,missing_canonical_fight_identity,,,
11965,0,3,7570c987-35e7-48d5-8e61-97d2dbbe0632,64320,missing_canonical_fight_identity,,,
11965,1,1,c9802737-a56a-4b7f-88b8-2341c0a44ad3,64321,missing_canonical_fight_identity,,,
11965,1,2,80ff1f83-0c69-4d8e-8d63-cbc9b0ab3b36,64322,missing_canonical_fight_identity,,,
11965,1,3,daef81e0-8caf-4bad-9765-e19dd210d007,64323,missing_canonical_fight_identity,,,
11988,0,1,1b03e34e-6375-426b-873a-0d300a33a369,64312,missing_canonical_fight_identity,,,
11988,0,2,01250af3-885c-4c1a-8bd2-1274d1e8ce48,64313,missing_canonical_fight_identity,,,
11988,1,1,57e8739c-8ab9-49bb-961e-d24ef8caa347,64314,missing_canonical_fight_identity,,,
11988,1,2,dbda5023-1722-4fe1-8a0d-11e9b74be1cb,64315,missing_canonical_fight_identity,,,
120,0,1,1aa099d0-24f3-460f-8030-37ea454dfd2b,33933,missing_canonical_fight_identity,,,
