fightmetric_id,corner,round,resource_id,drupal_internal_id,compared_fields,exact_fields,absolute_error_sum
5915,red,2,bad031b7-d3b3-4295-8211-282060d7ad1d,43975,15,15,0
5915,red,2,863a07e5-672b-4a30-b72f-6615ccd44059,45295,18,18,0
5915,red,3,9192cf78-b85b-4285-90ad-84dfcb1d78f8,43976,15,15,0
5915,red,3,f679a37a-6d14-44ee-a884-65c9b96c2054,45297,18,18,0
5966,red,1,202d355f-e1f6-48ff-ad54-2c0f0977e4d8,44014,15,15,0
5966,red,1,ad54a17d-1194-4cb7-a2aa-a3e352713de3,45277,18,18,0
5966,red,2,44ea529e-c897-4c49-878a-ff732133e6c1,44015,15,15,0
5966,red,2,de8857ee-477e-4279-84af-3ee7640a3f45,45279,18,18,0
5966,red,3,983c0cf8-5463-429d-96aa-f493743b0405,44016,15,15,0
5966,red,3,bd566b36-9b24-42df-9e78-7e7d56174be8,45281,18,18,0
5999,red,1,d160c14d-6d02-4fa9-95f3-0a34aae4c20c,44030,15,15,0
5999,red,1,2eee0129-94d3-4567-8b5e-a4319d3aec7a,45285,18,18,0
5999,red,2,c96e3cd2-b609-43e2-a2c7-a643dc46e076,44031,15,15,0
5999,red,2,21c6324a-c006-476a-8e88-6de6d18678b8,45287,18,18,0
5999,red,3,4401a79b-d92e-485a-8f9f-8f27f36260fd,44032,15,15,0
5999,red,3,5ec864a5-26d3-4b0e-9bce-8dd2e5476dc8,45289,18,18,0
6000,red,1,44ffc51f-0113-4f55-8b1d-f5775f8f412c,44038,15,15,0
6000,red,1,95fcd5ba-cdbd-44b6-8a29-2052ea35f0f8,45309,18,18,0
6000,red,2,dda6e17e-7f2f-42bf-afab-4b0073b2481d,44039,15,15,0
6000,red,2,c63d8918-5d53-4159-bc1c-2d5bec462d56,45311,18,18,0
6068,red,1,d8e244d8-6844-4824-8992-fd2cc5ec8827,44100,15,15,0
6068,red,1,4ecf5f9f-a925-4617-b65a-420e37464ce2,45319,18,18,0
6068,red,2,3479dfc9-e01a-447a-844a-75721a368204,44101,15,15,0
6068,red,2,4672051c-dd63-4f6d-a590-27838aff5518,45321,18,18,0
6116,red,1,a3c0216c-c007-4f34-bdb7-eb8de46021ab,44118,15,15,0
6116,red,1,fd758fcd-9e55-4d84-8861-d0921f924bfb,45325,18,18,0
6373,red,1,5dd2316a-fea2-4c06-9910-d8772a24a3bc,44170,15,15,0
6373,red,1,77dc3780-5827-4368-b18d-7b63aa346dc2,46016,18,18,0
6373,red,2,8d6e6c5a-ee52-49b7-9165-ba6cb1c41a5d,44171,15,15,0
6373,red,2,72ea0e4e-a3b6-4a6e-aeae-c77cfdcafb12,46018,18,18,0
6373,red,3,eba88590-b06d-49e2-a289-13e6f7743b83,44172,15,15,0
6373,red,3,97eca3fb-1760-4511-98f7-43992ac2de0a,46020,18,18,0
6405,red,1,6c8144b3-c72f-4e69-aba3-ded79f5fcbc8,44184,15,15,0
6405,red,1,a1461eec-252d-4da4-8323-9aabb9351581,45375,18,18,0
6405,red,2,a0a0d1ee-f1c2-4dbd-a475-846ed9961d17,44185,15,15,0
6405,red,2,64b88091-58fe-4958-8997-79c528973565,45377,18,18,0
6405,red,3,65c327ae-09b8-4cb0-a644-0f955fd69f16,44186,15,15,0
6405,red,3,cae7fce1-72a3-47c0-8f2e-e0dc5fc36972,45379,18,18,0
6428,red,1,91b9ab7e-26f0-44c5-bfd9-7aad82e83fe3,44196,15,15,0
6428,red,1,1840a48b-9169-4365-9094-5f1cf01f92a1,45389,18,18,0
6428,red,2,d674b087-ae5d-4324-9bf3-a25ccafd9c3a,44197,15,15,0
6428,red,2,480098b3-e882-4f50-9508-2d9b810416ea,45391,18,18,0
6428,red,3,b1046ed7-c58a-4dec-9c61-13d2bd8918fc,44198,15,15,0
6428,red,3,d9f09d68-d038-4f71-ae01-2cb0e05bdc0d,45393,18,18,0
6726,red,1,7884f6b1-480d-4eea-95d5-1a478c9c51b0,44256,15,15,0
6726,red,1,75b98504-e38b-401b-b46b-404718eb68ed,45415,18,18,0
6726,red,2,b78d2946-abf9-4420-a85b-f57cacb02eec,44257,15,15,0
6726,red,2,21defba7-4347-4109-b525-635cf305887e,45417,18,18,0
6875,red,1,405c16f2-b58a-4fd8-9015-87d1b56ac154,44274,15,15,0
6875,red,1,8a38f445-c1f4-4ff1-8460-5a12b694534c,45433,18,18,0
7041,red,1,13b6f122-488d-45f1-9448-8c136e86015a,44290,15,15,0
7041,red,1,cf32ddea-bb7f-42d7-9eec-1e4f956c1fab,45445,18,18,0
7041,red,2,d75bf3dc-2a46-4575-9023-abdb10841f60,44291,15,15,0
7041,red,2,243528af-a274-4874-a37f-f8338b78c53c,45447,18,18,0
7041,red,3,27a5957f-f9a8-4624-944b-f26820942b0b,44292,15,15,0
7041,red,3,5eaf1565-081f-4b88-ab55-7cd93f8b207f,45449,18,18,0
7042,red,1,67e9a081-7207-4ee6-a1b2-e59059e27125,44298,15,15,0
7042,red,1,8a8aad57-8b55-4985-b4b1-72e96f8ce6e6,45437,18,18,0
7139,red,1,dc8cba9b-342b-480c-81ec-57a341aa7dc9,44306,15,15,0
7139,red,1,d5f0df1c-9eed-4fa1-8e8a-62eb7ae10236,45453,18,18,0
7239,red,1,2f926e17-ca71-4491-bd81-6061cc16205a,44316,15,15,0
7239,red,1,6e59285d-3b58-4284-9917-d61889815263,45457,18,18,0
7239,red,2,c980fa84-f79b-4c46-bcba-30690d8611cb,44317,15,15,0
7239,red,2,0de24ea9-093f-4bb1-aac1-2a22af77ee54,45459,18,18,0
7273,red,1,7b28e811-03c2-4055-90dd-16f3470006f3,44358,15,15,0
7273,red,1,ad67968f-e90b-48e6-9ef9-e86d7850325c,44723,17,17,0
7317,red,1,9012291c-55b6-4608-89ab-97a53d78aee7,44386,15,15,0
7317,red,1,a96e606b-e533-4e50-a622-232e2bc12ed8,44715,17,17,0
7317,red,2,0eb527c3-3757-4bd6-9897-ea0cf78e85c7,44387,15,15,0
7317,red,2,ce05d22a-798a-4e9f-b5b2-075189aa3cb4,44717,17,17,0
7317,red,3,0abb2985-37dd-4114-832e-2e47535eb57b,44388,15,15,0
7317,red,3,d5b223ec-2cb4-465a-9a75-380fe1fda1ff,44719,17,17,0
7341,red,1,7d7e132c-dfd2-4f8d-ba29-33d896b86f50,44418,15,15,0
7341,red,1,d04c0397-de6a-4591-b765-f6b9a9df3fba,44727,17,17,0
7341,red,2,1408207e-6254-4576-a44a-e587b31034ff,44419,15,15,0
7341,red,2,43fae10e-e9ac-437c-b78b-17512c9ac2db,44729,17,17,0
1772,blue,1,41a22d86-c27f-4783-a2cb-f7f0087c472a,28681,15,15,0
1772,blue,1,95232826-9a52-4e85-b85d-6c5bc36f2c82,44463,13,13,0
1573,blue,1,3a0e355a-3355-4b37-a6b4-1344766dd1a7,29360,15,15,0
1573,blue,1,7f7e34a7-63ba-4106-8f8a-e77e6fb8610e,68537,18,18,0
1573,blue,2,69e17f27-b925-4765-a6e1-02a84f13ef9e,29361,15,15,0
1573,blue,2,e3a828b0-e443-4860-922c-566c40d2a5f4,68538,18,18,0
312,blue,1,9cd7f54b-5af5-4fdf-8494-58aafff38f13,32506,15,15,0
312,blue,1,df0b62d0-80b2-4338-a7ac-1e91f33bed42,65802,18,18,0
312,blue,2,c3b01aa5-e50a-4d21-ab80-b4da54d0a02b,32507,15,15,0
312,blue,2,d577a75f-9809-4ac9-8bf5-d6a451a603b6,65803,18,18,0
312,blue,3,9210822c-ff81-468b-bcb3-75fa867a0be3,32508,15,15,0
312,blue,3,bf3e80c8-736f-4a83-97fa-877c431165dd,65804,18,18,0
312,blue,4,3fb50a92-f149-40f4-82cc-7e9e6a2f48c8,32509,15,15,0
312,blue,4,7b2baa6d-553b-4bc5-b894-5350068a484e,65805,18,18,0
312,blue,5,ebef87cc-11ce-4a95-ab62-9c5c5e653398,32510,15,15,0
312,blue,5,8b8a7be6-1aec-4323-ba4d-a7baa73a82d2,65806,18,18,0
2296,blue,1,7d81c120-2ba8-4466-824a-ab80ed97c02f,35375,15,15,0
2296,blue,1,3899f238-d119-4c23-bb79-9978eeadec31,67926,18,18,0
2296,blue,2,b14e32ac-75b2-46eb-a6ae-945a2459ef74,35376,15,15,0
2296,blue,2,3840cf2e-531a-4d5a-8761-6be52140bfba,67927,18,18,0
2962,blue,1,84a2e707-47ba-4972-8f3a-85d53fe9bea5,36894,15,15,0
2962,blue,1,bd3ea09f-e9f8-41ab-bee6-e0c360663164,56634,18,18,0
2962,blue,2,14c57f87-a7e2-475f-ab85-af2fb9bcf359,36895,15,15,0
2962,blue,2,ca2a9a73-4877-4ecc-8df7-380d7e410a79,56635,18,18,0
2962,blue,3,b48f7d89-08ac-42fa-8fe2-a3159c98cbb6,36896,15,15,0
2962,blue,3,aa17f646-1aa0-465c-b0fb-e4b7ca6ab467,56636,18,18,0
3181,blue,1,958387eb-67d1-4741-803d-db1211b1ef8c,37162,15,15,0
3181,blue,1,ea640fd9-de65-4e01-a8fb-c9fb7f0713ab,56640,18,18,0
3469,blue,1,512a971e-ab32-4c3c-b29f-b1d8952e34a8,38043,15,15,0
3469,blue,1,f9e09984-22d2-4d70-8a70-c149d31b6ab1,56645,18,18,0
3469,blue,2,5920d4bd-fee8-4c49-9fe9-30d70a557e1d,38044,15,15,0
