archive_key,fight_id,event_date,judge_block,psm7_text,psm11_text,scorecard_candidate,espn_judge_name,espn_official_ids,similarity_psm7,similarity_psm11,runner_up_similarity,margin,identity_status
6c94dc8a8a1579a5d8a9fded.jpg,49329e8c-d3b6-5d73-927b-50363d6b8e4d,2022-02-12,3,PATRICK PATLAN,PATRICK PATLAN,PATRICK PATLAN,Patrick Patlan,2594062,1.0,1.0,0.71429,0.28571,reconciled_unique_espn_judge
70588e32981457905a7a877a.jpg,f752c632-17f3-548b-ad17-83682cb3c8e7,2021-09-04,1,MIKE BELL,MIKE BELL,MIKE BELL,,,0.7619,0.7619,0.7619,0.0,fuzzy_identity_not_strict_enough
70588e32981457905a7a877a.jpg,f752c632-17f3-548b-ad17-83682cb3c8e7,2021-09-04,2,DAVE HAGEN,DAVE HAGEN,DAVE HAGEN,Dave Hagen,2593954,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
70588e32981457905a7a877a.jpg,f752c632-17f3-548b-ad17-83682cb3c8e7,2021-09-04,3,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,Junichiro Kamijo,2594008,1.0,1.0,0.51613,0.48387,reconciled_unique_espn_judge
811779f24f4f8a8d573f03e1.jpg,fd07acac-7e1c-52c6-902b-94ba171be297,2020-12-19,1,MIKE BELL,MIKE BELL,MIKE BELL,,,0.7619,0.7619,0.7619,0.0,fuzzy_identity_not_strict_enough
811779f24f4f8a8d573f03e1.jpg,fd07acac-7e1c-52c6-902b-94ba171be297,2020-12-19,2,ERIC COLON,ERIC COLON,ERIC COLON,Eric Colon,2593970,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
811779f24f4f8a8d573f03e1.jpg,fd07acac-7e1c-52c6-902b-94ba171be297,2020-12-19,3,CHRIS LEE,CHRIS LEE,CHRIS LEE,Chris Lee,2593955,1.0,1.0,0.9,0.1,reconciled_unique_espn_judge
9becba4ecd2e06da6445c0b6.jpeg,848d77c2-5260-5ca7-90ca-fe77b78b7340,2024-11-02,1,DEREK CLEARY,DEREK CLEARY,DEREK CLEARY,Derek Cleary,2956768,1.0,1.0,0.64,0.36,reconciled_unique_espn_judge
9becba4ecd2e06da6445c0b6.jpeg,848d77c2-5260-5ca7-90ca-fe77b78b7340,2024-11-02,2,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,JUNICHIRO KAMIJO,Junichiro Kamijo,2594008,1.0,1.0,0.51613,0.48387,reconciled_unique_espn_judge
9becba4ecd2e06da6445c0b6.jpeg,848d77c2-5260-5ca7-90ca-fe77b78b7340,2024-11-02,3,ZIAD HARB,ZIAD HARB,ZIAD HARB,Ziad Harb,5245763,1.0,1.0,0.54545,0.45455,reconciled_unique_espn_judge
9daaa8708ca5c13fd79acf83.jpg,06af82bb-e57d-5022-b418-e45828e745df,2020-08-22,1,MICHAEL BELL,MICHAEL BELL,MICHAEL BELL,Michael Bell,3023574,1.0,1.0,0.8,0.2,reconciled_unique_espn_judge
9daaa8708ca5c13fd79acf83.jpg,06af82bb-e57d-5022-b418-e45828e745df,2020-08-22,2,RON MCCARTHY,RON MCCARTHY,RON MCCARTHY,Ron McCarthy,4021253,1.0,1.0,0.6087,0.3913,reconciled_unique_espn_judge
9daaa8708ca5c13fd79acf83.jpg,06af82bb-e57d-5022-b418-e45828e745df,2020-08-22,3,ANTHONY MANESS,ANTHONY MANESS,ANTHONY MANESS,Anthony Manes,2594028,0.96296,0.96296,0.78571,0.17725,reconciled_unique_espn_judge
9e786a668e752cb2c55bb9ce.jpg,6fed5e94-8e25-56b2-a69f-1c3f50420ce6,2021-03-13,1,DAVE HAGEN,DAVE HAGEN,DAVE HAGEN,Dave Hagen,2593954,1.0,1.0,0.66667,0.33333,reconciled_unique_espn_judge
9e786a668e752cb2c55bb9ce.jpg,6fed5e94-8e25-56b2-a69f-1c3f50420ce6,2021-03-13,2,CHRIS LEE,CHRIS LEE,CHRIS LEE,Chris Lee,2593955,1.0,1.0,0.9,0.1,reconciled_unique_espn_judge
9e786a668e752cb2c55bb9ce.jpg,6fed5e94-8e25-56b2-a69f-1c3f50420ce6,2021-03-13,3,BRYAN MINER,BRYAN MINER,BRYAN MINER,Bryan Miner,3960792,1.0,1.0,0.63636,0.36364,reconciled_unique_espn_judge
