source_row_number,date,weightclass,fighter,rank,reason,details
2866,2013-11-11,Middleweight,Costas Philippou,9,unmatched_exact_canonical_name,canonical_candidate_count=0
2873,2013-11-11,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
2925,2013-11-18,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2969,2013-11-18,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
2975,2013-11-18,Middleweight,Costas Philippou,9,unmatched_exact_canonical_name,canonical_candidate_count=0
2982,2013-11-18,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
3034,2013-12-03,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
3078,2013-12-03,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
3084,2013-12-03,Middleweight,Costas Philippou,9,unmatched_exact_canonical_name,canonical_candidate_count=0
3091,2013-12-03,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
3143,2013-12-09,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
3187,2013-12-09,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
3194,2013-12-09,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3200,2013-12-09,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
3252,2013-12-16,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
3282,2013-12-16,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
3296,2013-12-16,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
3303,2013-12-16,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3309,2013-12-16,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
3371,2013-12-30,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
3379,2013-12-30,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
3416,2013-12-30,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
3435,2013-12-30,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
3442,2013-12-30,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3453,2013-12-30,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
3529,2014-01-07,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
3537,2014-01-07,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3575,2014-01-07,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
3594,2014-01-07,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
3601,2014-01-07,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3612,2014-01-07,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
3688,2014-01-17,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
3696,2014-01-17,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3734,2014-01-17,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
3753,2014-01-17,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
3760,2014-01-17,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3771,2014-01-17,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
3847,2014-01-27,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
3856,2014-01-27,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
3893,2014-01-27,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
3912,2014-01-27,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
3919,2014-01-27,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
3930,2014-01-27,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
4006,2014-02-03,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
4015,2014-02-03,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
4052,2014-02-03,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
4071,2014-02-03,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
4078,2014-02-03,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
4089,2014-02-03,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
4166,2014-02-17,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
4175,2014-02-17,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
4212,2014-02-17,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
4232,2014-02-17,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
4238,2014-02-17,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
4249,2014-02-17,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
4325,2014-02-18,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
4334,2014-02-18,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
4371,2014-02-18,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
4391,2014-02-18,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
4397,2014-02-18,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
4408,2014-02-18,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
4484,2014-02-24,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
4493,2014-02-24,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
4530,2014-02-24,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
4550,2014-02-24,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
4556,2014-02-24,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
4567,2014-02-24,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
4643,2014-02-25,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
4652,2014-02-25,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
4689,2014-02-25,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
4709,2014-02-25,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
4715,2014-02-25,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
4726,2014-02-25,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
4802,2014-03-03,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
4811,2014-03-03,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
4848,2014-03-03,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
4868,2014-03-03,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
4874,2014-03-03,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
4886,2014-03-03,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
4961,2014-03-04,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
4970,2014-03-04,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
5007,2014-03-04,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
5027,2014-03-04,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
5033,2014-03-04,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5045,2014-03-04,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
5120,2014-03-10,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
5129,2014-03-10,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
5166,2014-03-10,Welterweight,NA,0,unmatched_exact_canonical_name,canonical_candidate_count=0
5186,2014-03-10,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
5192,2014-03-10,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5204,2014-03-10,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
5279,2014-03-17,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
5287,2014-03-17,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5345,2014-03-17,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
5351,2014-03-17,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5363,2014-03-17,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
5438,2014-03-24,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
5446,2014-03-24,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5504,2014-03-24,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
5510,2014-03-24,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5597,2014-03-25,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
5605,2014-03-25,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5663,2014-03-25,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
5669,2014-03-25,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5682,2014-03-25,Light Heavyweight,Antonio Rogerio Nogueira,7,unmatched_exact_canonical_name,canonical_candidate_count=0
5756,2014-04-14,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
5764,2014-04-14,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5822,2014-04-14,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
5829,2014-04-14,Middleweight,Costas Philippou,11,unmatched_exact_canonical_name,canonical_candidate_count=0
5915,2014-04-18,Bantamweight,Michael McDonald,2,ambiguous_exact_canonical_name,canonical_candidate_count=2
5923,2014-04-18,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
5981,2014-04-18,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
5987,2014-04-18,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
6075,2014-04-21,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
6083,2014-04-21,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
6140,2014-04-21,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
6148,2014-04-21,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
6234,2014-04-28,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
6242,2014-04-28,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
6300,2014-04-28,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
6308,2014-04-28,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
6394,2014-05-05,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
6402,2014-05-05,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
6459,2014-05-05,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
6467,2014-05-05,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
6553,2014-05-06,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
6561,2014-05-06,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
6618,2014-05-06,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
6626,2014-05-06,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
6712,2014-05-12,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
6719,2014-05-12,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
6777,2014-05-12,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
6783,2014-05-12,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
6872,2014-05-26,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
6880,2014-05-26,Bantamweight,Francisco Rivera Jr.,12,unmatched_exact_canonical_name,canonical_candidate_count=0
6936,2014-05-26,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
6942,2014-05-26,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7031,2014-05-28,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
7039,2014-05-28,Bantamweight,Francisco Rivera Jr.,12,unmatched_exact_canonical_name,canonical_candidate_count=0
7095,2014-05-28,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
7101,2014-05-28,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7190,2014-06-02,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
7197,2014-06-02,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
7254,2014-06-02,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
7260,2014-06-02,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7349,2014-06-09,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
7356,2014-06-09,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
7413,2014-06-09,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
7418,2014-06-09,Middleweight,Costas Philippou,9,unmatched_exact_canonical_name,canonical_candidate_count=0
7508,2014-06-16,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
7514,2014-06-16,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7572,2014-06-16,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
7578,2014-06-16,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7667,2014-06-30,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
7673,2014-06-30,Bantamweight,Francisco Rivera Jr.,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7731,2014-06-30,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
7737,2014-06-30,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7826,2014-07-08,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
7833,2014-07-08,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
7890,2014-07-08,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
7896,2014-07-08,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
7985,2014-07-21,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
7992,2014-07-21,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8049,2014-07-21,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
8055,2014-07-21,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
8144,2014-07-28,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
8151,2014-07-28,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8208,2014-07-28,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
8214,2014-07-28,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
8234,2014-07-28,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
8303,2014-08-18,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
8310,2014-08-18,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8367,2014-08-18,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
8373,2014-08-18,Middleweight,Costas Philippou,10,unmatched_exact_canonical_name,canonical_candidate_count=0
8393,2014-08-18,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
8462,2014-08-25,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
8469,2014-08-25,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8526,2014-08-25,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
8533,2014-08-25,Middleweight,Costas Philippou,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8552,2014-08-25,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
8621,2014-09-01,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
8628,2014-09-01,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8685,2014-09-01,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
8692,2014-09-01,Middleweight,Costas Philippou,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8711,2014-09-01,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
8780,2014-09-08,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
8787,2014-09-08,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8844,2014-09-08,Middleweight,Ronaldo Souza,4,unmatched_exact_canonical_name,canonical_candidate_count=0
8851,2014-09-08,Middleweight,Costas Philippou,11,unmatched_exact_canonical_name,canonical_candidate_count=0
8870,2014-09-08,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
8939,2014-09-09,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
8946,2014-09-09,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9001,2014-09-09,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
9010,2014-09-09,Middleweight,Costas Philippou,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9029,2014-09-09,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
9098,2014-09-15,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
9105,2014-09-15,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9160,2014-09-15,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
9170,2014-09-15,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
9188,2014-09-15,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
9257,2014-09-22,Bantamweight,Michael McDonald,4,ambiguous_exact_canonical_name,canonical_candidate_count=2
9264,2014-09-22,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9320,2014-09-22,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
9329,2014-09-22,Middleweight,Costas Philippou,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9349,2014-09-22,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
9419,2014-09-29,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
9425,2014-09-29,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9480,2014-09-29,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
9490,2014-09-29,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
9508,2014-09-29,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
9578,2014-10-06,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
9584,2014-10-06,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9639,2014-10-06,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
9649,2014-10-06,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
9666,2014-10-06,Light Heavyweight,Antonio Rogerio Nogueira,13,unmatched_exact_canonical_name,canonical_candidate_count=0
9737,2014-10-27,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
9743,2014-10-27,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9799,2014-10-27,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
9809,2014-10-27,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
9826,2014-10-27,Light Heavyweight,Antonio Rogerio Nogueira,13,unmatched_exact_canonical_name,canonical_candidate_count=0
9897,2014-11-10,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
9903,2014-11-10,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
9959,2014-11-10,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
9968,2014-11-10,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
9985,2014-11-10,Light Heavyweight,Antonio Rogerio Nogueira,13,unmatched_exact_canonical_name,canonical_candidate_count=0
10056,2014-11-17,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
10062,2014-11-17,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
10117,2014-11-17,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
10127,2014-11-17,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
10144,2014-11-17,Light Heavyweight,Antonio Rogerio Nogueira,13,unmatched_exact_canonical_name,canonical_candidate_count=0
10215,2014-11-24,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
10221,2014-11-24,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
10276,2014-11-24,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
10285,2014-11-24,Middleweight,Costas Philippou,11,unmatched_exact_canonical_name,canonical_candidate_count=0
10304,2014-11-24,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
10374,2014-12-08,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
10380,2014-12-08,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
10435,2014-12-08,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
10445,2014-12-08,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
10463,2014-12-08,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
10533,2014-12-15,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
10539,2014-12-15,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
10594,2014-12-15,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
10604,2014-12-15,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
10622,2014-12-15,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
10708,2014-12-22,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
10714,2014-12-22,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
10769,2014-12-22,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
10779,2014-12-22,Middleweight,Costas Philippou,12,unmatched_exact_canonical_name,canonical_candidate_count=0
10797,2014-12-22,Light Heavyweight,Antonio Rogerio Nogueira,14,unmatched_exact_canonical_name,canonical_candidate_count=0
10883,2015-01-05,Bantamweight,Michael McDonald,5,ambiguous_exact_canonical_name,canonical_candidate_count=2
10889,2015-01-05,Bantamweight,Francisco Rivera Jr.,11,unmatched_exact_canonical_name,canonical_candidate_count=0
10944,2015-01-05,Middleweight,Ronaldo Souza,2,unmatched_exact_canonical_name,canonical_candidate_count=0
