ufc_athlete_uuid,fightmetric_id,official_fight_appearances,disposition,exact_trusted_match_count,matched_canonical_ids,matched_source_names,crosswalk_disposition
1d840b57-06a3-4eb1-baae-3ece23c68518,1391,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1dacd160-0917-4f97-895a-1a55268b77dc,759,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1ddb6039-de32-4578-bddf-663acc371043,600,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
1df436e0-d274-4730-aee6-7ba428e4b084,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1e25c512-3726-44ba-9370-07b2fbd7f907,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1e70bcb8-590a-4621-a22f-f86ee5597e54,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1e7f6405-8e1e-4648-925a-48406e6b345d,1448,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1e93852f-7b15-4763-8040-2965e1c04e00,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1ea04d74-3dd6-4525-aa9d-d21b22a99682,2029,3,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
1ea22875-cf78-4b8e-935b-7873550d6d56,3672,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1ee36f6e-f4a1-4071-a397-95e2e1a1418b,3899,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1efb66a2-a739-442d-8aed-3a961204e38d,985,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1f44ec7e-967b-4797-94fd-f6704751c298,1555,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1f56e22e-0502-4d91-be95-ffc50a2def2b,677,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1f5b0683-5458-4551-93fa-2da1eb0dcaaf,686,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
200dca5a-0d82-4221-816b-da08f7a0d01c,1314,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
201db902-ead0-4d69-9fa7-90df5bcc4a0f,2336,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
206af0ba-cb92-40a2-a41e-b0df799132b2,1497,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
209ea4f4-ccfe-4434-8719-94f3f3353023,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
20f8fd97-9462-4445-bff2-505ee15a149d,2915,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
20ffb2bc-329e-43bb-b6b4-5d24851237bd,736,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
2101620c-48c4-4bce-a476-e0db3b15def8,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
2106d3f4-eb3d-460d-a802-21f669a16fe5,1597,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
21072afc-bc03-45f1-9b04-9e9357ee8cf3,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
2127c530-f031-410a-ba68-414996d36d06,2140,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
214f7af0-9b5f-42a5-a2b7-5535fe443a46,812,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
215d1c7f-0746-401d-8151-58f645bfc470,1792,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
21eed85c-3f56-458f-965d-18c6cd75eb80,1553,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
220d84cc-814d-4e2c-9cc7-e66de40cb05d,1825,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
2220cd23-7f97-4ae9-bbed-9d878f38a549,1798,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
226e2bb8-7add-4214-adbe-06d4168a7016,1847,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
227540a9-f5f0-452d-a8dc-957671d34061,1276,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
2292cd09-b1bd-4488-a0a5-047797d3769a,1371,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
22da6a74-c026-480b-acbd-3f08e24b4317,83,2,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
22e4dff9-3e52-436c-9903-e16646416bbd,2928,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
230bf644-71cb-4879-a4f8-cdc65b7f2f6c,,0,profile_only_unlinked_no_stable_fight_bridge,0,,,no_source_explicit_fightmetric_id
232b4ba1-7a5e-4e9b-8ef0-bed99ee83b25,1790,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
2339b774-986f-4ac2-9133-cf4af9f16b87,3425,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
23446ef5-94dd-470a-a95e-11c9a23d1958,3170,6,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
23acffe2-126d-4ad7-878b-502f6c2626b3,2702,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
23cd2ccc-7f76-426d-beac-2f7b884fdbc4,4557,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
23d11281-eeba-4b7e-bb66-20ca0cccf3aa,1418,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
23ed1722-c541-431d-98d4-e33eeceb7256,1315,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
240c914c-7adc-4761-8e20-83b8c44a6234,,3,unlinked_with_official_fight_history,0,,,no_source_explicit_fightmetric_id
2462344b-8806-4045-9ddd-077f5f1fb553,804,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
