ufc_athlete_uuid,title,fightmetric_id,old_id,old_url,athlete_status_text,official_fight_appearances,distinct_official_fights,disposition
deffe4f2-d1cc-447a-9b2e-61a4e15900da,Herman Renting,818,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
df54452e-2633-47bd-8a0f-135e7fd53d36,TJ Cook,1837,242115,http://www.ufc.com/fighter/TJ-Cook,Not Fighting,1,1,unlinked_with_official_fight_history
df579eb6-7ff8-4478-8703-411267205459,Cody Chovancek,4436,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
df69e130-f972-44e3-a607-ee7b015232d3,Lumumba Sayers,1345,242757,http://www.ufc.com/fighter/Lumumba-Sayers,Not Fighting,2,2,unlinked_with_official_fight_history
df80dafe-b1d8-4178-8411-dee5e44fe5f8,Toby Misech,3075,657473,http://www.ufc.com/fighter/Toby-Misech,Active,0,0,profile_only_unlinked_with_fightmetric_id
dfa3db17-31f7-411d-b519-75d98d873029,Nariman Abbassov,3910,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
dfba9212-5428-4173-8f36-c6988c26fe71,JW Wright,1710,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dfdaf286-1470-4647-8f80-052be89aaf72,Jeremiah Billington,1114,537,http://www.ufc.com/fighter/Jeremiah-Billington,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dfe25b67-fd60-42f9-9f6f-e52ddca96496,Houssain Oushani,,678,http://www.ufc.com/fighter/Houssain-Oushani,Released,0,0,profile_only_legacy_identity
dffc2c5d-11b2-4f8d-8b32-840515cc1774,Bharat Kandare,3026,643438,http://www.ufc.com/fighter/Bharat-Kandare,Not Fighting,2,2,unlinked_with_official_fight_history
e00142cc-77c3-4f1b-b9b2-062f4a7fc6c5,Sam Liera,1265,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e03bd7c6-5563-4f50-aef5-8e06542b5e4c,Kate Jackson,,587583,http://www.ufc.com/fighter/kate-jackson,Active,0,0,profile_only_legacy_identity
e04a029f-be4d-43d3-8bef-32225130cce2,Alessandro Ricci,2819,603198,http://www.ufc.com/fighter/alesandro-ricci,Not Fighting,2,2,unlinked_with_official_fight_history
e055faee-d420-4e37-b913-a626e38a2e42,Billy Pasulatan,3974,,,Active,1,1,unlinked_with_official_fight_history
e059902e-9afe-4587-bbfd-43ebe78a7ebf,Jair Farias,,,,Active,0,0,profile_only_unlinked_no_stable_fight_bridge
e082f9a2-56ca-454e-b4b1-6068c1c496af,Carlos Baretto,100,41,http://www.ufc.com/fighter/Carlos-Baretto,Not Fighting,1,1,unlinked_with_official_fight_history
e0967968-cea0-451b-b942-14fd04b69a30,Sam Wells,,583,http://www.ufc.com/fighter/Sam-Wells,Released,0,0,profile_only_legacy_identity
e0bd6921-e3d2-4d88-bdeb-ff7333e46106,Chris Solomon,,887,http://www.ufc.com/fighter/Chris-Solomon,Released,0,0,profile_only_legacy_identity
e1110eed-571a-4b85-8b20-1ac4305d74f7,Harrison Garcia,,,,Active,0,0,profile_only_unlinked_no_stable_fight_bridge
e1259ed2-e7b9-4950-8aeb-f441dadfe5f2,Sam Spengler,1223,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e1328449-2073-4622-8b61-5ea52811858c,Tom Tuggle,1220,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e13baddf-c655-4353-8ae3-4bca6de86da1,Justin Robbins,1036,528,http://www.ufc.com/fighter/Justin-Robbins,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e163e7de-0ebb-4b3d-bcb5-1aceb004d5b2,Askar Askar,3637,,,Not Fighting,1,1,unlinked_with_official_fight_history
e1b912ba-0f38-4bfa-a7f5-6a05b85f742e,Felipe Andrew,,,,Active,0,0,profile_only_unlinked_no_stable_fight_bridge
e1f24d35-62be-4be7-9e48-13f05673b6d0,Rico Farrington,3360,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
e1f9d90d-1c22-4da6-a3fd-274656b82d45,Lloyd Van Dams,854,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
e2151775-bcae-49b3-9694-d2be3563ef35,Dave Berry,556,170,http://www.ufc.com/fighter/Dave-Berry,Not Fighting,1,1,unlinked_with_official_fight_history
